Brand,Model,Power_Consumption_kWh,Room_Size_sqft,Warranty_Years,Price,Rating,Ton
Daikin,Daikin 1 Ton 3 Star Split Inverter AC  ,680,90,1,"₹33,880",,1
Godrej,Godrej 1.5 Ton 5 Star Split Inverter Convertible 5,840,111,1,"₹39,490",4.2,1.5
Panasonic,Panasonic 2 Ton 3 Star Split AC  ,1710,151,1,"₹47,500",3.6,2
IFB,IFB FastCool Convertible 8,1083,151,1,"₹40,490",4.2,1.6
Daikin,Daikin 0.8 Ton 3 Star Split AC with PM 2.5 Filter  ,709,90,1,"₹28,999",4.1,0.8
realme,realme TechLife 1 Ton 5 Star Split Inverter Smart AC with Wi,523,90,1,"₹30,999",4.2,1
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 2 Ton 3 Star Split Inverter Xpandable plus Ambience...,1397,151,1,"₹51,999",3,2
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Panasonic,Panasonic 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi,972,111,1,"₹41,990",4.1,1.5
SAMSUNG,SAMSUNG Convertible 5,481,90,1,"₹38,390",4,1
LG,LG Super Convertible 5,680,90,1,"₹32,990",4,1
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹30,499",4,1.5
ONIDA,ONIDA 1.5 Ton 5 Star Split Inverter AC  ,779,111,1,"₹38,490",4.3,1.5
LG,LG Super Convertible 5,1015,111,1,"₹47,990",4.2,1.5
Voltas,Voltas 1.5 Ton 3 Star Split Inverter AC  ,998,111,1,"₹33,149",3.9,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
Hitachi,Hitachi 1.5 Ton 5 Star Split Inverter AC  ,1385,111,1,"₹45,499",,1.5
Panasonic,Panasonic 1.5 Ton 5 Star Split Inverter AC  ,1350,111,1,"₹47,000",4.5,1.5
Hitachi,Hitachi 1 Ton 3 Star Split Inverter AC  ,1095,90,1,"₹32,290",,1
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
Voltas,Voltas 2 Ton 2 Star Window AC  ,1542,151,1,"₹34,990",3.7,2
Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC  ,1325,111,1,"₹45,590",4.1,1.5
Hitachi,Hitachi 1.5 T 5 Star Split Inverter AC  ,780,111,1,"₹43,999",3.9,
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC with Wi,523,90,1,"₹39,400",4.1,1
Blue,Blue Star 1.5 Ton 3 Star Split Inverter AC  ,1600,111,1,"₹35,339",3.5,1.5
Whirlpool,Whirlpool 1.5 Ton 5 Star Split Inverter AC  ,920,111,1,"₹35,849",4.1,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
ONIDA,ONIDA 1 Ton 3 Star Split Inverter AC  ,1090,90,1,"₹31,999",4.5,1
Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  ,1095,111,1,"₹62,999",4.3,1.5
CARRIER,CARRIER Flexicool Convertible 4,974,111,1,"₹38,490",4.1,1.5
IFB,IFB FastCool Convertible 8,1206,151,1,"₹48,490",4.2,2
SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  ,977,111,1,"₹35,200",,1.5
Panasonic,Panasonic 1.5 Ton 3 Star Split AC with Wi,989,111,1,"₹37,550",,1.5
Daikin,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter with Wi,1325,111,1,"₹49,240",4,1.5
IFB,IFB FastCool Convertible 8,1083,151,1,"₹40,490",4.2,1.6
