Brand,Model,Power_Consumption_kWh,Room_Size_sqft,Warranty_Years,Price,Rating,Ton
ONIDA,ONIDA 1.5 Ton 3 Star Split Inverter Smart AC with Wi,1600,111,1,"₹34,999",4.3,1.5
Voltas,Voltas 1 Ton 5 Star Split Inverter AC  ,542,90,1,"₹38,990",4.2,1
Panasonic,Panasonic 1 Ton 3 Star Split Inverter AC  ,731,90,1,"₹30,990",4.2,1
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Blue,Blue Star 2 Ton 3 Star Split Inverter AC  ,1261,151,1,"₹47,990",4.2,2
LG,LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi,749,111,1,"₹50,990",,1.5
Daikin,Daikin 1.8 Ton 5 Star Split Inverter AC  ,1575,151,1,"₹59,990",3.5,1.8
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,732,90,1,"₹27,999",4.1,1
SAMSUNG,SAMSUNG Convertible 5,1700,111,1,"₹33,999",4.4,1.5
Hitachi,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 4 Star Split Inverter Xpandable plus Ambien...,1096,151,1,"₹57,999",3,1.8
Hitachi,Hitachi 1.2 Ton 3 Star Split Inverter AC  ,1110,91,1,"₹34,900",,1.2
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1209,151,1,"₹42,999",4,2
IFB,IFB FastCool Convertible 8,773,90,1,"₹31,490",4.2,1
Haier,Haier 1.6 Ton 5 Star Split Inverter AC  ,880,151,1,"₹42,490",2.8,1.6
ONIDA,ONIDA 1.5 Ton 5 Star Split Inverter AC  ,1415,111,1,"₹39,999",4.5,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Split Inverter AC with Wi,780,111,1,"₹42,000",4.2,1.5
CARRIER,CARRIER 1 Ton 3 Star Split 2 Way Air Directional control with HD Filter (2023 Model) AC  ,940,90,1,"₹32,999",4.3,1
Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter AC  ,1730,111,1,"₹36,999",4,1.5
IFB,IFB FastCool Convertible 8,1206,151,1,"₹48,490",4.2,2
CARRIER,CARRIER 1.5 Ton 3 Star Split Inverter AC  ,1590,111,1,"₹35,999",3.8,1.5
SAMSUNG,SAMSUNG 1 Ton 4 Star Split Inverter AC  ,960,90,1,"₹32,999",4.1,1
Voltas,Voltas 2 Ton 3 Star Split Inverter AC  ,1220,151,1,"₹46,990",,2
IFB,IFB FastCool Convertible 8,1083,151,1,"₹40,490",4.2,1.6
Daikin,Daikin 1.5 Ton 4 Star Hot and Cold Split Inverter AC  ,1600,111,1,"₹46,400",4.3,1.5
Voltas,Voltas 1.5 Ton 4 Star Split Inverter AC  ,966,111,1,"₹35,999",,1.5
CARRIER,CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi,1390,111,1,"₹44,999",3.9,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1350,111,1,"₹33,999",4,1.5
Haier,Haier 1.5 Ton 3 Star Split Inverter AC  ,1089,111,1,"₹35,990",4,1.5
Blue,Blue Star 1 Ton 5 Star Split Inverter AC  ,684,90,1,"₹39,990",4.5,1
CANDY,CANDY 1.5 Ton 3 Star Split Inverter AC  ,732,111,1,"₹31,490",4,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,735,111,1,"₹28,999",4.1,1.5
Lloyd,Lloyd 1 Ton 3 Star Split AC  ,700,90,1,"₹26,229",4.2,1
Voltas,Voltas 1 Ton 3 Star Split Inverter AC  ,1570,90,1,"₹31,490",4.3,1
TOSHIBA,TOSHIBA 1.5 Ton 5 Star Split Inverter AC  ,732,111,1,"₹49,000",1,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,1750,90,1,"₹27,999",4.1,1
CARRIER,CARRIER 1.5 Ton 3 Star Split Inverter AC  ,977,111,1,"₹35,999",4.3,1.5
SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC with Wi,1206,111,1,"₹38,990",,1.5
Hitachi,Hitachi 1.5 Ton Split Inverter AC  ,571,111,1,"₹43,980",,1.5
IFB,IFB FastCool Convertible 8,865,151,1,"₹48,490",4.2,2
LG,LG Super Convertible 6,1820,90,1,"₹37,490",4.2,1
MOTOROLA,MOTOROLA 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi,1209,111,1,"₹37,990",4.3,1.5
ONIDA,ONIDA 1.5 Ton 3 Star Split Dual Inverter AC  ,1590,111,1,"₹31,499",4.3,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1752,151,1,"₹42,999",4,2
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,1072,111,1,"₹40,999",4.2,1.5
Daikin,Daikin 1.5 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  ,1083,111,1,"₹41,500",4.3,1.5
Lloyd,Lloyd 1.5 Ton 5 Star Window AC  ,818,111,1,"₹35,499",,1.5
IFB,IFB FastCool Convertible 8,1120,151,1,"₹40,490",4.2,1.6
LG,LG Super Convertible 6,966,111,1,"₹43,990",4.1,1.5
CARRIER,CARRIER 1 Ton 3 Star Window AC  ,1350,90,1,"₹27,000",4.3,1
Voltas,Voltas 1.5 Ton 4 Star Split Inverter AC  ,533,111,1,"₹35,999",,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1056,111,1,"₹33,999",4,1.5
Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC with Wi,1456,90,1,"₹35,999",4.2,1
Panasonic,Panasonic 1.5 Ton 3 Star Split Inverter AC  ,732,111,1,"₹35,990",4.2,1.5
Blue,Blue Star 1.5 Ton 5 Star Split Inverter AC  ,1053,111,1,"₹42,199",3.8,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,1575,90,1,"₹27,999",4.1,1
LG,LG 1.5 Ton 5 Star Window Dual Inverter AC with Wi,752,111,1,"₹38,227",4.4,1.5
Daikin,Daikin 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter  ,1209,151,1,"₹56,999",4.2,1.8
Godrej,Godrej 1 Ton 3 Star Split Inverter AC  ,1080,90,1,"₹29,900",4.2,1
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,2095,151,1,"₹42,999",4,2
LG,LG 1 Ton 3 Star Split Dual Inverter AC  ,732,90,1,"₹35,990",4.3,1
LG,LG 1.5 Ton Window Inverter AC  ,1050,111,1,"₹34,554",4.1,1.5
Haier,"Haier Heavy Duty 2023 Model 2 Ton 3 Star Split Inverter Frost Self Clean, Triple Inverter Plus Technol...",774,151,1,"₹52,990",4,2
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,1400,111,1,"₹28,999",4.1,1.5
CARRIER,CARRIER Flexicool Convertible 4,1206,91,1,"₹38,999",4.4,1.2
Panasonic,Panasonic Convertible 7,1350,111,1,"₹49,990",4.2,1.5
Blue,Blue Star 1.5 Ton 5 Star Split Inverter AC  ,1700,111,1,"₹47,500",4,1.5
IFB,IFB FastCool Convertible 8,1206,151,1,"₹48,490",4.2,2
SAMSUNG,SAMSUNG 1.5 Ton 5 Star Split AC with Wi,1083,111,1,"₹44,980",3,1.5
Midea,Midea 1.5 Ton 3 Star Split Inverter AC  ,685,111,1,"₹35,999",4.1,1.5
IFB,IFB 2 Ton 3 Star Split Inverter AC with Wi,1495,151,1,"₹48,150",,2
IFB,IFB FastCool Convertible 8,1260,151,1,"₹40,490",4.2,1.6
LG,LG 1.5 Ton 5 Star Split Dual Inverter AC  ,1350,111,1,"₹42,721",,1.5
Hitachi,Hitachi 1.5 Ton 3 Star Split AC  ,1045,111,1,"₹36,999",4,1.5
Blue,Blue Star 1.5 Ton 5 Star Split Inverter AC  ,1180,111,1,"₹46,890",,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1940,111,1,"₹33,999",4,1.5
Godrej,Godrej 4,732,111,1,"₹34,599",4.3,1.5
SAMSUNG,SAMSUNG 1 Ton 3 Star Split Inverter AC  ,1000,90,1,"₹41,000",4.8,1
Hitachi,Hitachi 1.5 Ton 3 Star Split Inverter AC  ,1440,111,1,"₹38,900",,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,759,111,1,"₹28,999",4.1,1.5
Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC with Wi,732,90,1,"₹45,990",4.2,1
Panasonic,Panasonic 1.5 Ton 4 Star Split Inverter AC with Wi,1810,111,1,"₹52,990",4.2,1.5
Voltas,Voltas 1.5 Ton 5 Star Split Inverter AC  ,588,111,1,"₹44,500",,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,1122,90,1,"₹27,999",4.1,1
Lloyd,Lloyd 2 Ton 5 Star Split Inverter AC with Wi,1083,151,1,"₹53,999",3.4,2
Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC  ,1870,90,1,"₹35,990",4.8,1
Blue,Blue Star 1 Ton 3 Star Split Inverter AC  ,1350,90,1,"₹34,500",4.4,1
IFB,IFB FastCool Convertible 8,1110,151,1,"₹40,490",4.2,1.6
Panasonic,Panasonic 1.5 Ton 3 Star Split Inverter AC  ,1350,111,1,"₹34,999",,1.5
SAMSUNG,SAMSUNG Super Convertible 6,565,111,1,"₹46,990",4.1,1.5
CARRIER,CARRIER 1 Ton 3 Star Window AC  ,675,90,1,"₹28,999",4.2,1
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,611,111,1,"₹33,999",4,1.5
Blue,Blue Star 1 Ton 5 Star Split Inverter AC  ,1640,90,1,"₹40,777",4.4,1
NU,NU 1 Ton 3 Star Split Inverter AC  ,840,90,1,"₹26,990",3.9,1
Godrej,Godrej 1 Ton 5 Star Split Inverter AC  ,989,90,1,"₹33,900",4.3,1
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1800,111,1,"₹30,499",4,1.5
Whirlpool,Whirlpool 4 in 1 Convertible Cooling 1 Ton 5 Star Split Inverter AC  ,1209,90,1,"₹40,990",4.1,1
Panasonic,Panasonic 1.5 Ton 3 Star Split AC with Wi,990,111,1,"₹36,970",,1.5
TOSHIBA,TOSHIBA 1.5 Ton 3 Star Split AC  ,1168,111,1,"₹35,000",4.2,1.5
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,2280,151,1,"₹42,999",4,2
Panasonic,Panasonic 1 Ton 5 Star Split Inverter AC with Wi,732,90,1,"₹37,490",4.3,1
Blue,Blue Star 1.5 Ton 3 Star Window AC  ,1449,111,1,"₹30,750",,1.5
O,O General 2 Ton 5 Star Split Inverter AC  ,565,151,1,"₹82,900",,2
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,114,111,1,"₹28,999",4.1,1.5
Hitachi,Hitachi 1.5 Ton 5 Star Split Inverter AC  ,732,111,1,"₹50,690",4.4,1.5
Blue,Blue Star 1 Ton 5 Star Split Inverter AC  ,770,90,1,"₹40,777",4.4,1
Lloyd,Lloyd 1.5 Ton 5 Star Window AC  ,999,111,1,"₹33,900",3.9,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,1082,90,1,"₹27,999",4.1,1
Whirlpool,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  ,1206,111,1,"₹37,199",4.1,1.5
Daikin,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  ,1680,111,1,"₹47,890",4.4,1.5
Blue,Blue Star 1.5 Ton 5 Star Window Inverter AC  ,1118,111,1,"₹39,499",3.9,1.5
IFB,IFB FastCool Convertible 8,587,151,1,"₹48,490",4.2,2
Intex,Intex 1.5 Ton 3 Star Window AC  ,1209,111,1,"₹23,500",3.6,1.5
MarQ,MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi,826,111,1,"₹35,500",4.4,1.5
Lloyd,Lloyd 1 Ton 5 Star Split Inverter AC  ,818,90,1,"₹35,599",,1
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,1870,151,1,"₹42,999",4,2
Voltas,Voltas 0.8 Ton 3 Star Split AC  ,1083,90,1,"₹26,499",4.1,0.8
LG,LG Convertible 5,871,111,1,"₹43,990",4.4,1.5
Panasonic,Panasonic 2 Ton 3 Star Split Inverter AC  ,1660,151,1,"₹54,500",4.5,2
IFB,IFB FastCool Convertible 8,1232,151,1,"₹40,490",4.2,1.6
CARRIER,CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi,1350,111,1,"₹48,900",,1.5
TOSHIBA,TOSHIBA 1.5 Ton 3 Star Split Inverter AC  ,1278,111,1,"₹41,500",3.9,1.5
LG,LG 2 Ton 3 Star Split Dual Inverter Super Convertible 6,1325,151,1,"₹53,990",4.1,2
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,732,111,1,"₹33,999",4,1.5
Lloyd,Lloyd . 1.5 Ton 5 Star Split Inverter with PM 2.5 Filter AC  ,1133,111,1,"₹42,599",4.2,1.5
Daikin,Daikin 1.5 Ton 3 Star Split AC with PM 2.5 Filter  ,840,111,1,"₹41,090",4.1,1.5
Whirlpool,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  ,1365,111,1,"₹36,190",4.1,1.5
Thomson,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  ,732,111,1,"₹28,999",4.1,1.5
Daikin,Daikin 1.5 Ton 5 Star Window AC  ,2590,111,1,"₹38,490",4.2,1.5
Blue,Blue Star 1 Ton 2 Star Window AC  ,3850,90,1,"₹26,190",4,1
Blue,Blue Star Convertible 4,1860,111,1,"₹42,990",4.2,1.5
Thomson,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  ,1083,90,1,"₹27,999",4.1,1
IFB,IFB 1.5 Ton 5 Star Split Inverter AC  ,1450,111,1,"₹42,990",4.2,1.5
LG,LG 1 Ton 4 Star Split Inverter AC  ,1220,90,1,"₹37,799",,1
SAMSUNG,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  ,1785,111,1,"₹56,500",4.8,1.5
IFB,IFB FastCool Convertible 8,1350,151,1,"₹40,490",4.2,1.6
Voltas,Voltas 1.5 Ton 3 Star Split AC  ,1380,111,1,"₹38,200",4.2,1.5
Voltas,Voltas 2 Ton 3 Star Split Inverter AC  ,5650,151,1,"₹46,990",,2
Godrej,Godrej 1.5 Ton 3 Star Split Inverter AC  ,1263,111,1,"₹33,999",,1.5
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  ,1640,111,1,"₹39,499",4,1.5
Midea,Midea 1.5 Ton 5 Star Split Inverter AC with Wi,741,111,1,"₹38,990",4.3,1.5
IFB,IFB 1.6 Ton 3 Star Split Inverter AC  ,1114,151,1,"₹49,490",4.1,1.6
Lloyd,Lloyd 2 Ton 3 Star Split Inverter AC  ,711,151,,"₹30,499",4,2
Thomson,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  ,1209,111,,"₹26,490",4,1.5
MarQ,MarQ by Flipkart 1 Ton 3 Star Split AC  ,,90,,"₹34,549",4.2,1
LG,LG Convertible 4,,111,,"₹30,999",4,1.5
Lloyd,Lloyd 1 Ton 3 Star Split Inverter AC  ,,90,,"₹42,999",,1
Thomson,Thomson 2 Ton 3 Star Split Inverter AC  ,,151,,,4,2
